#timebase=4000000(ps)
,#voltbase=5000000(mv/100)
#size=4000
1.58E-05,9.400
1.58E-05,8.400
1.59E-05,7.600
1.59E-05,6.600
1.59E-05,5.400
1.59E-05,4.400
1.59E-05,3.800
1.60E-05,3.400
1.60E-05,2.600
1.60E-05,2.200
1.60E-05,2.000
1.60E-05,1.600
1.61E-05,1.200
1.61E-05,1.000
1.61E-05,1.200
1.61E-05,1.200
1.61E-05,1.200
1.62E-05,1.000
1.62E-05,0.800
1.62E-05,1.000
1.62E-05,1.200
1.62E-05,0.800
1.63E-05,1.000
1.63E-05,0.800
1.63E-05,0.600
1.63E-05,0.800
1.63E-05,1.000
1.64E-05,0.600
1.64E-05,0.800
1.64E-05,1.000
1.64E-05,0.800
1.64E-05,0.800
1.65E-05,1.000
1.65E-05,0.800
1.65E-05,1.000
1.65E-05,0.600
1.65E-05,0.600
1.66E-05,0.800
1.66E-05,0.600
1.66E-05,0.800
1.66E-05,0.600
1.66E-05,0.800
1.67E-05,0.600
1.67E-05,0.800
1.67E-05,1.000
1.67E-05,0.800
1.67E-05,0.600
1.68E-05,0.600
1.68E-05,0.800
1.68E-05,0.600
1.68E-05,0.800
1.68E-05,0.800
1.69E-05,1.000
1.69E-05,0.800
1.69E-05,1.000
1.69E-05,0.600
1.69E-05,0.800
1.70E-05,0.800
1.70E-05,1.000
1.70E-05,0.800
1.70E-05,1.000
1.70E-05,0.600
1.71E-05,0.600
1.71E-05,1.800
1.71E-05,3.200
1.71E-05,4.600
1.71E-05,5.400
1.72E-05,6.200
1.72E-05,6.800
1.72E-05,7.400
1.72E-05,8.000
1.72E-05,8.400
1.73E-05,8.600
1.73E-05,9.000
1.73E-05,9.000
1.73E-05,9.200
1.73E-05,9.000
1.74E-05,9.400
1.74E-05,9.600
1.74E-05,9.600
1.74E-05,9.600
1.74E-05,9.800
1.75E-05,9.600
1.75E-05,9.600
1.75E-05,9.800
1.75E-05,9.800
1.75E-05,9.600
1.76E-05,9.600
1.76E-05,9.800
1.76E-05,9.800
1.76E-05,10.000
1.76E-05,9.800
1.77E-05,9.800
1.77E-05,9.800
1.77E-05,9.800
1.77E-05,9.800
1.77E-05,9.800
1.78E-05,9.800
1.78E-05,9.800
1.78E-05,9.800
1.78E-05,10.000
1.78E-05,10.000
1.79E-05,9.800
1.79E-05,9.800
1.79E-05,10.200
1.79E-05,10.000
1.79E-05,9.800
1.80E-05,9.800
1.80E-05,9.800
1.80E-05,9.800
1.80E-05,9.800
1.80E-05,9.800
1.81E-05,10.000
1.81E-05,9.800
1.81E-05,9.800
1.81E-05,9.800
