#timebase=4000000(ps)
,#voltbase=5000000(mv/100)
#size=4000
5.76E-06,0.800
5.78E-06,1.000
5.80E-06,0.800
5.82E-06,0.800
5.84E-06,0.800
5.86E-06,0.800
5.88E-06,0.800
5.90E-06,1.000
5.92E-06,0.800
5.94E-06,0.800
5.96E-06,1.000
5.98E-06,0.800
6.00E-06,1.000
6.02E-06,0.600
6.04E-06,0.800
6.06E-06,1.000
6.08E-06,0.800
6.10E-06,0.600
6.12E-06,0.800
6.14E-06,0.600
6.16E-06,0.600
6.18E-06,0.800
6.20E-06,0.600
6.22E-06,0.800
6.24E-06,0.600
6.26E-06,0.800
6.28E-06,1.000
6.30E-06,0.800
6.32E-06,1.000
6.34E-06,0.600
6.36E-06,0.600
6.38E-06,0.800
6.40E-06,0.600
6.42E-06,0.800
6.44E-06,1.000
6.46E-06,1.000
6.48E-06,1.000
6.50E-06,0.600
6.52E-06,0.800
6.54E-06,1.000
6.56E-06,0.800
6.58E-06,0.600
6.60E-06,0.800
6.62E-06,0.600
6.64E-06,0.800
6.66E-06,0.600
6.68E-06,0.800
6.70E-06,1.000
6.72E-06,0.800
6.74E-06,1.000
6.76E-06,1.000
6.78E-06,1.000
6.80E-06,1.000
6.82E-06,1.000
6.84E-06,0.600
6.86E-06,0.600
6.88E-06,0.800
6.90E-06,1.000
6.92E-06,0.600
6.94E-06,0.800
6.96E-06,1.000
6.98E-06,0.800
7.00E-06,1.000
7.02E-06,0.600
7.04E-06,0.800
7.06E-06,1.000
7.08E-06,0.800
7.10E-06,0.600
7.12E-06,0.800
7.14E-06,1.000
7.16E-06,0.600
7.18E-06,0.600
7.20E-06,0.800
7.22E-06,0.600
7.24E-06,0.800
7.26E-06,0.800
7.28E-06,1.000
7.30E-06,0.800
7.32E-06,1.000
7.34E-06,0.600
7.36E-06,0.800
7.38E-06,1.000
7.40E-06,0.800
7.42E-06,0.600
7.44E-06,0.600
7.46E-06,0.800
7.48E-06,0.600
7.50E-06,0.800
7.52E-06,1.000
7.54E-06,1.000
7.56E-06,0.600
7.58E-06,0.800
7.60E-06,1.000
7.62E-06,0.800
7.64E-06,0.800
7.66E-06,1.000
7.68E-06,0.800
7.70E-06,1.000
7.72E-06,1.000
7.74E-06,0.600
7.76E-06,0.800
7.78E-06,0.800
7.80E-06,1.000
7.82E-06,0.800
7.84E-06,1.000
7.86E-06,0.600
7.88E-06,0.800
7.90E-06,1.000
7.92E-06,0.800
7.94E-06,1.000
7.96E-06,0.600
7.98E-06,0.600
8.00E-06,0.800
8.02E-06,0.800
8.04E-06,0.800
8.06E-06,0.800
8.08E-06,0.800
8.10E-06,0.800
8.12E-06,1.000
8.14E-06,1.200
8.16E-06,3.000
8.18E-06,4.800
8.20E-06,5.800
8.22E-06,7.000
8.24E-06,7.800
8.26E-06,8.600
8.28E-06,9.200
8.30E-06,9.600
8.32E-06,10.000
8.34E-06,10.200
8.36E-06,10.600
8.38E-06,10.600
8.40E-06,10.800
8.42E-06,11.000
8.44E-06,11.000
8.46E-06,11.000
8.48E-06,11.200
8.50E-06,11.200
8.52E-06,11.000
8.54E-06,11.200
8.56E-06,11.200
8.58E-06,11.400
8.60E-06,11.400
8.62E-06,11.600
8.64E-06,11.400
8.66E-06,11.400
8.68E-06,11.200
8.70E-06,11.200
8.72E-06,11.200
8.74E-06,11.400
8.76E-06,11.400
8.78E-06,11.400
8.80E-06,11.400
8.82E-06,11.600
8.84E-06,11.400
8.86E-06,11.400
8.88E-06,11.200
8.90E-06,11.200
8.92E-06,11.400
8.94E-06,11.600
8.96E-06,11.800
8.98E-06,11.400
9.00E-06,11.400
9.02E-06,11.200
9.04E-06,11.200
9.06E-06,11.400
9.08E-06,11.400
9.10E-06,11.400
9.12E-06,11.400
9.14E-06,11.400
9.16E-06,11.400
9.18E-06,11.200
9.20E-06,11.400
9.22E-06,11.200
9.24E-06,11.200
9.26E-06,11.400
9.28E-06,11.400
9.30E-06,11.400
9.32E-06,11.400
9.34E-06,11.400
9.36E-06,11.400
9.38E-06,11.400
9.40E-06,11.400
9.42E-06,11.600
9.44E-06,11.400
9.46E-06,11.400
9.48E-06,11.200
9.50E-06,11.200
9.52E-06,11.400
9.54E-06,11.400
9.56E-06,11.400
9.58E-06,11.200
9.60E-06,11.200
9.62E-06,11.400
9.64E-06,11.400
9.66E-06,11.400
9.68E-06,11.400
9.70E-06,11.200
9.72E-06,11.400
9.74E-06,11.400
9.76E-06,11.400
9.78E-06,11.400
9.80E-06,11.400
9.82E-06,11.400
9.84E-06,11.400
9.86E-06,11.400
9.88E-06,11.400
9.90E-06,11.400
9.92E-06,11.400
9.94E-06,11.400
9.96E-06,11.200
9.98E-06,11.400
1.00E-05,11.400
1.00E-05,11.400
1.00E-05,11.400
1.01E-05,11.400
1.01E-05,11.200
1.01E-05,11.200
1.01E-05,11.200
1.01E-05,11.400
1.02E-05,11.400
1.02E-05,11.600
1.02E-05,11.600
1.02E-05,11.600
1.02E-05,11.400
1.03E-05,11.400
1.03E-05,11.400
1.03E-05,11.400
1.03E-05,11.200
1.03E-05,11.400
1.04E-05,11.400
1.04E-05,11.600
1.04E-05,11.400
1.04E-05,11.400
1.04E-05,11.400
1.05E-05,11.600
1.05E-05,11.400
1.05E-05,11.400
1.05E-05,11.200
1.05E-05,11.000
1.06E-05,11.400
1.06E-05,11.400
1.06E-05,11.400
1.06E-05,11.200
1.06E-05,11.400
1.07E-05,11.400
1.07E-05,11.000
1.07E-05,11.600
1.07E-05,11.400
1.07E-05,11.400
1.08E-05,11.400
1.08E-05,11.400
1.08E-05,11.400
1.08E-05,11.400
1.08E-05,11.400
1.09E-05,11.600
1.09E-05,11.000
1.09E-05,11.400
1.09E-05,11.400
1.09E-05,11.400
1.10E-05,11.400
1.10E-05,11.400
1.10E-05,11.600
1.10E-05,11.400
1.10E-05,11.400
1.11E-05,11.400
1.11E-05,11.400
1.11E-05,11.000
1.11E-05,11.400
1.11E-05,11.400
1.12E-05,11.400
1.12E-05,11.600
1.12E-05,11.400
1.12E-05,11.400
1.12E-05,11.400
1.13E-05,11.400
1.13E-05,11.400
1.13E-05,11.400
1.13E-05,11.400
1.13E-05,11.200
1.14E-05,11.200
1.14E-05,11.000
1.14E-05,11.400
1.14E-05,11.400
1.14E-05,11.400
1.15E-05,11.400
1.15E-05,11.400
1.15E-05,11.600
1.15E-05,11.600
1.15E-05,11.600
1.16E-05,11.400
1.16E-05,11.400
1.16E-05,11.400
1.16E-05,11.200
1.16E-05,11.400
1.17E-05,11.400
1.17E-05,11.400
1.17E-05,11.400
1.17E-05,11.400
1.17E-05,11.600
1.18E-05,11.600
1.18E-05,11.600
1.18E-05,11.600
1.18E-05,11.600
1.18E-05,11.400
1.19E-05,11.400
1.19E-05,11.400
1.19E-05,11.400
1.19E-05,11.600
1.19E-05,11.600
1.20E-05,11.400
1.20E-05,11.400
1.20E-05,11.600
1.20E-05,11.400
1.20E-05,11.400
1.21E-05,11.400
1.21E-05,11.400
1.21E-05,11.600
1.21E-05,11.600
1.21E-05,11.400
1.22E-05,11.400
1.22E-05,11.600
1.22E-05,11.200
1.22E-05,10.400
1.22E-05,9.400
1.23E-05,8.200
1.23E-05,7.200
1.23E-05,6.400
1.23E-05,5.200
1.23E-05,4.200
1.24E-05,3.800
1.24E-05,3.200
1.24E-05,2.400
1.24E-05,2.000
1.24E-05,1.600
1.25E-05,1.600
1.25E-05,1.200
1.25E-05,1.000
1.25E-05,1.200
1.25E-05,1.200
1.26E-05,1.200
1.26E-05,1.200
1.26E-05,1.200
1.26E-05,1.000
1.26E-05,1.200
1.27E-05,1.000
1.27E-05,0.600
1.27E-05,1.000
1.27E-05,1.200
1.27E-05,0.800
1.28E-05,1.000
1.28E-05,0.600
