#timebase=4000000000(ps)
,#voltbase=5000000(mv/100)
#size=4000
1.13E-02,0.000
1.13E-02,0.000
1.14E-02,0.000
1.14E-02,0.000
1.14E-02,0.000
1.15E-02,0.200
1.15E-02,-0.200
1.16E-02,0.000
1.16E-02,0.000
1.16E-02,0.200
1.17E-02,0.200
1.17E-02,0.200
1.18E-02,0.000
1.18E-02,0.000
1.18E-02,0.200
1.19E-02,-0.200
1.19E-02,0.000
1.20E-02,0.200
1.20E-02,0.200
1.20E-02,0.000
1.21E-02,0.000
1.21E-02,-0.200
1.22E-02,0.200
1.22E-02,0.400
1.22E-02,-0.200
1.23E-02,-0.200
1.23E-02,0.000
1.24E-02,0.200
1.24E-02,0.000
1.24E-02,0.200
1.25E-02,0.000
1.25E-02,0.000
1.26E-02,0.000
1.26E-02,0.000
1.26E-02,0.000
1.27E-02,0.000
1.27E-02,0.400
1.28E-02,-0.200
1.28E-02,0.200
1.28E-02,0.200
1.29E-02,0.000
1.29E-02,0.000
1.30E-02,0.000
1.30E-02,0.000
1.30E-02,0.200
1.31E-02,-0.200
1.31E-02,0.000
1.32E-02,-0.200
1.32E-02,0.200
1.32E-02,-0.200
1.33E-02,0.000
1.33E-02,0.000
1.34E-02,-0.200
1.34E-02,-0.200
1.34E-02,0.000
1.35E-02,0.200
1.35E-02,-0.200
1.36E-02,-0.200
1.36E-02,0.200
1.36E-02,-0.200
1.37E-02,0.000
1.37E-02,-0.200
1.38E-02,0.200
1.38E-02,0.000
1.38E-02,0.000
1.39E-02,0.000
1.39E-02,0.000
1.40E-02,0.200
1.40E-02,0.200
1.40E-02,-0.200
1.41E-02,-0.200
1.41E-02,0.000
1.42E-02,0.200
1.42E-02,0.200
1.42E-02,0.400
1.43E-02,0.200
1.43E-02,0.400
1.44E-02,0.400
1.44E-02,0.200
1.44E-02,-0.200
1.45E-02,0.000
1.45E-02,0.000
1.46E-02,0.000
1.46E-02,0.400
1.46E-02,0.000
1.47E-02,-0.200
1.47E-02,0.000
1.48E-02,0.000
1.48E-02,0.200
1.48E-02,0.200
1.49E-02,0.000
1.49E-02,0.000
1.50E-02,0.200
1.50E-02,-0.200
1.50E-02,-0.200
1.51E-02,0.000
1.51E-02,-0.200
1.52E-02,0.000
1.52E-02,0.000
1.52E-02,0.000
1.53E-02,0.000
1.53E-02,0.000
1.54E-02,0.200
1.54E-02,0.000
1.54E-02,0.000
1.55E-02,0.000
1.55E-02,0.000
1.56E-02,-0.200
1.56E-02,0.000
1.56E-02,0.000
1.57E-02,0.200
1.57E-02,0.000
1.58E-02,0.200
1.58E-02,0.200
1.58E-02,-0.200
1.59E-02,-0.200
1.59E-02,0.000
1.60E-02,0.000
1.60E-02,0.000
1.60E-02,0.000
1.61E-02,-0.200
1.61E-02,0.000
1.62E-02,0.200
1.62E-02,0.200
1.62E-02,0.200
1.63E-02,-0.200
1.63E-02,-0.200
1.64E-02,0.000
1.64E-02,-0.200
1.64E-02,0.000
1.65E-02,0.000
1.65E-02,-0.200
1.66E-02,0.200
1.66E-02,0.200
1.66E-02,0.200
1.67E-02,0.000
1.67E-02,0.000
1.68E-02,-0.200
1.68E-02,0.000
1.68E-02,-0.200
1.69E-02,0.000
1.69E-02,0.200
1.70E-02,0.000
1.70E-02,0.200
1.70E-02,0.000
1.71E-02,0.200
1.71E-02,-0.200
1.72E-02,0.000
1.72E-02,0.000
1.72E-02,0.200
1.73E-02,0.000
1.73E-02,0.000
1.74E-02,0.400
1.74E-02,0.200
1.74E-02,-0.200
1.75E-02,-0.200
1.75E-02,0.000
1.76E-02,0.000
1.76E-02,0.000
1.76E-02,0.000
1.77E-02,0.200
1.77E-02,0.000
1.78E-02,0.000
1.78E-02,0.200
1.78E-02,-0.200
1.79E-02,0.000
1.79E-02,0.000
1.80E-02,0.000
1.80E-02,0.000
1.80E-02,0.200
1.81E-02,0.000
1.81E-02,0.000
1.82E-02,0.000
1.82E-02,0.000
1.82E-02,0.200
1.83E-02,0.000
1.83E-02,0.000
1.84E-02,0.000
1.84E-02,0.000
1.84E-02,0.000
1.85E-02,0.200
1.85E-02,0.000
1.86E-02,0.200
1.86E-02,0.000
1.86E-02,0.000
1.87E-02,0.000
1.87E-02,0.200
1.88E-02,-0.200
1.88E-02,0.000
1.88E-02,0.200
1.89E-02,0.000
1.89E-02,0.000
1.90E-02,0.000
1.90E-02,0.000
1.90E-02,0.000
1.91E-02,0.000
1.91E-02,0.000
1.92E-02,0.000
1.92E-02,0.200
1.92E-02,0.200
1.93E-02,0.000
1.93E-02,0.000
1.94E-02,0.000
1.94E-02,0.000
1.94E-02,0.000
1.95E-02,-0.200
1.95E-02,0.000
1.96E-02,-0.200
1.96E-02,0.200
1.96E-02,0.000
1.97E-02,0.000
1.97E-02,0.000
1.98E-02,0.000
1.98E-02,-0.200
1.98E-02,0.000
1.99E-02,0.200
1.99E-02,0.000
2.00E-02,0.400
2.00E-02,0.000
2.00E-02,-0.200
2.01E-02,0.000
2.01E-02,0.200
2.02E-02,-0.200
2.02E-02,0.000
2.02E-02,0.000
2.03E-02,0.000
2.03E-02,0.000
2.04E-02,0.000
2.04E-02,0.000
2.04E-02,0.000
2.05E-02,-0.200
2.05E-02,0.000
2.06E-02,0.200
2.06E-02,0.400
2.06E-02,-0.200
2.07E-02,0.200
2.07E-02,0.000
2.08E-02,0.000
2.08E-02,0.000
2.08E-02,-0.200
2.09E-02,0.200
2.09E-02,0.000
2.10E-02,0.000
2.10E-02,0.000
2.10E-02,0.200
2.11E-02,0.200
2.11E-02,0.000
2.12E-02,0.000
2.12E-02,-0.200
2.12E-02,0.000
2.13E-02,0.200
2.13E-02,0.000
2.14E-02,0.000
2.14E-02,0.000
2.14E-02,0.000
2.15E-02,0.200
2.15E-02,0.200
2.16E-02,0.000
2.16E-02,0.000
2.16E-02,0.200
2.17E-02,0.000
2.17E-02,0.000
2.18E-02,0.000
2.18E-02,0.000
2.18E-02,0.000
2.19E-02,0.000
2.19E-02,0.000
2.20E-02,-0.200
2.20E-02,0.200
2.20E-02,0.000
2.21E-02,0.000
2.21E-02,0.200
2.22E-02,0.000
2.22E-02,0.200
2.22E-02,0.000
2.23E-02,0.000
2.23E-02,0.200
2.24E-02,0.000
2.24E-02,0.000
2.24E-02,0.200
2.25E-02,0.000
2.25E-02,-0.200
2.26E-02,-0.200
2.26E-02,0.000
2.26E-02,0.400
2.27E-02,-0.200
2.27E-02,0.000
2.28E-02,0.000
2.28E-02,-0.200
2.28E-02,0.000
2.29E-02,0.000
2.29E-02,0.000
2.30E-02,0.000
2.30E-02,0.200
2.30E-02,0.000
2.31E-02,-0.200
2.31E-02,0.000
2.32E-02,0.400
2.32E-02,0.200
2.32E-02,-0.200
2.33E-02,-0.200
2.33E-02,0.200
2.34E-02,-0.200
2.34E-02,0.000
2.34E-02,0.000
2.35E-02,0.200
2.35E-02,0.000
2.36E-02,0.000
2.36E-02,0.200
2.36E-02,0.200
2.37E-02,0.000
2.37E-02,0.200
2.38E-02,0.000
2.38E-02,0.000
2.38E-02,0.000
2.39E-02,-0.200
2.39E-02,0.000
2.40E-02,0.000
2.40E-02,0.000
2.40E-02,0.400
2.41E-02,0.200
2.41E-02,-0.200
2.42E-02,-0.200
2.42E-02,0.200
2.42E-02,0.000
2.43E-02,0.000
2.43E-02,0.000
2.44E-02,0.000
2.44E-02,0.000
2.44E-02,0.000
2.45E-02,0.000
2.45E-02,0.000
2.46E-02,0.000
2.46E-02,0.000
2.46E-02,0.200
2.47E-02,0.200
2.47E-02,0.000
2.48E-02,0.000
2.48E-02,0.200
2.48E-02,-0.200
2.49E-02,0.000
2.49E-02,0.000
2.50E-02,0.200
2.50E-02,-0.200
2.50E-02,0.200
2.51E-02,0.000
2.51E-02,0.200
2.52E-02,0.000
2.52E-02,0.200
2.52E-02,0.000
2.53E-02,0.000
2.53E-02,0.000
2.54E-02,0.000
2.54E-02,0.000
2.54E-02,0.000
2.55E-02,-0.200
2.55E-02,-0.200
2.56E-02,0.000
2.56E-02,0.200
2.56E-02,0.000
2.57E-02,0.000
2.57E-02,0.000
2.58E-02,0.000
2.58E-02,0.000
2.58E-02,-0.200
2.59E-02,0.000
2.59E-02,0.000
2.60E-02,0.000
2.60E-02,0.000
2.60E-02,0.000
2.61E-02,0.000
2.61E-02,0.000
2.62E-02,0.000
2.62E-02,-0.200
2.62E-02,0.000
2.63E-02,0.000
2.63E-02,0.000
2.64E-02,-0.200
2.64E-02,0.200
2.64E-02,0.200
2.65E-02,0.200
2.65E-02,0.400
2.66E-02,-0.200
2.66E-02,0.000
2.66E-02,0.000
2.67E-02,0.000
2.67E-02,0.200
2.68E-02,0.000
2.68E-02,0.000
2.68E-02,-0.200
2.69E-02,0.000
2.69E-02,0.000
2.70E-02,0.000
2.70E-02,0.000
2.70E-02,0.200
2.71E-02,-0.200
2.71E-02,-0.200
2.72E-02,0.000
2.72E-02,0.200
2.72E-02,0.200
2.73E-02,0.400
2.73E-02,-0.200
2.74E-02,-0.200
2.74E-02,0.000
2.74E-02,0.200
2.75E-02,0.000
2.75E-02,0.000
2.76E-02,0.000
2.76E-02,0.000
2.76E-02,0.400
2.77E-02,-0.200
2.77E-02,-0.200
2.78E-02,0.000
2.78E-02,-0.200
2.78E-02,0.000
2.79E-02,0.000
2.79E-02,0.000
2.80E-02,0.000
2.80E-02,0.000
2.80E-02,0.000
2.81E-02,0.000
2.81E-02,0.000
2.82E-02,0.000
2.82E-02,0.000
2.82E-02,-0.200
2.83E-02,0.000
2.83E-02,0.000
2.84E-02,0.200
2.84E-02,0.200
2.84E-02,0.000
2.85E-02,-0.200
2.85E-02,0.000
2.86E-02,-0.200
2.86E-02,0.200
2.86E-02,-0.200
2.87E-02,0.200
2.87E-02,-0.200
2.88E-02,0.000
2.88E-02,-0.200
2.88E-02,0.200
2.89E-02,0.200
2.89E-02,0.000
2.90E-02,0.200
2.90E-02,0.000
2.90E-02,0.000
2.91E-02,0.000
2.91E-02,0.000
2.92E-02,0.000
2.92E-02,0.000
2.92E-02,0.000
2.93E-02,0.000
2.93E-02,0.000
2.94E-02,0.000
2.94E-02,0.000
2.94E-02,0.200
2.95E-02,0.000
2.95E-02,0.200
2.96E-02,0.000
2.96E-02,-0.200
2.96E-02,-0.200
2.97E-02,0.000
2.97E-02,0.000
2.98E-02,0.200
2.98E-02,0.000
2.98E-02,-0.200
2.99E-02,0.000
2.99E-02,0.000
3.00E-02,0.000
3.00E-02,0.200
3.00E-02,0.000
3.01E-02,0.200
3.01E-02,0.200
3.02E-02,0.000
3.02E-02,0.000
3.02E-02,0.000
3.03E-02,-0.200
3.03E-02,0.000
3.04E-02,0.000
3.04E-02,0.200
3.04E-02,-0.200
3.05E-02,0.000
3.05E-02,0.000
3.06E-02,0.000
3.06E-02,0.000
3.06E-02,0.000
3.07E-02,0.000
3.07E-02,0.000
3.08E-02,0.200
3.08E-02,0.200
3.08E-02,0.200
3.09E-02,0.000
3.09E-02,0.200
3.10E-02,-0.200
3.10E-02,0.200
3.10E-02,0.200
3.11E-02,0.000
3.11E-02,0.000
3.12E-02,0.200
3.12E-02,-0.200
3.12E-02,0.000
3.13E-02,-0.200
3.13E-02,-0.200
3.14E-02,0.000
3.14E-02,0.000
3.14E-02,0.000
3.15E-02,0.000
3.15E-02,0.000
3.16E-02,0.200
3.16E-02,0.200
3.16E-02,0.000
3.17E-02,0.000
3.17E-02,0.200
3.18E-02,0.200
3.18E-02,0.000
3.18E-02,0.200
3.19E-02,0.000
3.19E-02,0.000
3.20E-02,-0.200
3.20E-02,-0.200
3.20E-02,0.000
3.21E-02,0.200
3.21E-02,-0.200
3.22E-02,0.000
3.22E-02,0.000
3.22E-02,0.200
3.23E-02,0.000
3.23E-02,0.200
3.24E-02,0.000
3.24E-02,-0.200
3.24E-02,0.200
3.25E-02,-0.200
3.25E-02,-0.200
3.26E-02,0.000
3.26E-02,-0.200
3.26E-02,0.000
3.27E-02,0.000
3.27E-02,0.200
3.28E-02,0.000
3.28E-02,0.000
3.28E-02,0.000
3.29E-02,0.000
3.29E-02,0.000
3.30E-02,0.000
3.30E-02,0.000
3.30E-02,0.000
3.31E-02,0.000
3.31E-02,0.000
3.32E-02,0.200
3.32E-02,0.200
3.32E-02,-0.200
3.33E-02,0.000
3.33E-02,0.000
3.34E-02,0.200
3.34E-02,-0.200
3.34E-02,0.000
3.35E-02,0.000
3.35E-02,0.000
3.36E-02,-0.200
